1609459328s | Voltage: 3.76 V, Current: 1223.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1509.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1500.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1503.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1520.00 mA, SOC: 8.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1504.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.81 V, Current: 1499.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1532.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1527.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1525.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1493.00 mA, SOC: 9.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1490.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1497.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1517.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1487.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1483.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459456s | Voltage: 3.82 V, Current: 1509.00 mA, SOC: 10.0 %, USB_Protocol: 136, USB_Current: 2000 mA
