1609459584s | Voltage: 3.80 V, Current: -1982.00 mA, SOC: 86.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.80 V, Current: -1987.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.92 V, Current: -918.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.93 V, Current: -898.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.96 V, Current: -709.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.96 V, Current: -701.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.96 V, Current: -692.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.97 V, Current: -684.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.96 V, Current: -688.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.97 V, Current: -685.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.97 V, Current: -673.00 mA, SOC: 85.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.97 V, Current: -670.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.97 V, Current: -671.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.98 V, Current: -672.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.98 V, Current: -674.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.98 V, Current: -682.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.98 V, Current: -662.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.98 V, Current: -657.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.83 V, Current: -1915.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.82 V, Current: -1934.00 mA, SOC: 84.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.82 V, Current: -1929.00 mA, SOC: 83.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.82 V, Current: -1950.00 mA, SOC: 83.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.81 V, Current: -1950.00 mA, SOC: 83.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.81 V, Current: -1959.00 mA, SOC: 83.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.81 V, Current: -1975.00 mA, SOC: 82.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.81 V, Current: -1978.00 mA, SOC: 82.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.81 V, Current: -1976.00 mA, SOC: 82.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.80 V, Current: -1974.00 mA, SOC: 82.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.80 V, Current: -1982.00 mA, SOC: 82.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.79 V, Current: -1987.00 mA, SOC: 81.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.80 V, Current: -1997.00 mA, SOC: 81.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.80 V, Current: -1995.00 mA, SOC: 81.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.79 V, Current: -2001.00 mA, SOC: 81.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.79 V, Current: -1999.00 mA, SOC: 80.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.79 V, Current: -2006.00 mA, SOC: 80.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.80 V, Current: -2005.00 mA, SOC: 80.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.79 V, Current: -2008.00 mA, SOC: 80.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.80 V, Current: -2006.00 mA, SOC: 80.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.91 V, Current: -927.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.94 V, Current: -719.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.94 V, Current: -718.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.95 V, Current: -712.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.95 V, Current: -709.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.95 V, Current: -699.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.95 V, Current: -709.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.95 V, Current: -709.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.81 V, Current: -1972.00 mA, SOC: 79.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.81 V, Current: -1978.00 mA, SOC: 78.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.79 V, Current: -1992.00 mA, SOC: 78.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.80 V, Current: -2002.00 mA, SOC: 78.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.79 V, Current: -2006.00 mA, SOC: 78.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.80 V, Current: -2005.00 mA, SOC: 77.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.79 V, Current: -2029.00 mA, SOC: 77.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.79 V, Current: -2018.00 mA, SOC: 77.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.78 V, Current: -2020.00 mA, SOC: 77.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.79 V, Current: -2020.00 mA, SOC: 77.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -2016.00 mA, SOC: 76.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -2014.00 mA, SOC: 76.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -2029.00 mA, SOC: 76.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.80 V, Current: -2009.00 mA, SOC: 76.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -2016.00 mA, SOC: 75.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1994.00 mA, SOC: 75.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.79 V, Current: -1983.00 mA, SOC: 75.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.79 V, Current: -1977.00 mA, SOC: 75.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1964.00 mA, SOC: 74.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.84 V, Current: -1896.00 mA, SOC: 74.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.79 V, Current: -1955.00 mA, SOC: 74.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1976.00 mA, SOC: 74.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1875.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1859.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1950.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1760.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1929.00 mA, SOC: 73.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.79 V, Current: -1853.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1938.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.78 V, Current: -1844.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.89 V, Current: -947.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.92 V, Current: -736.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.93 V, Current: -732.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.93 V, Current: -730.00 mA, SOC: 72.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.93 V, Current: -733.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.93 V, Current: -720.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.93 V, Current: -719.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -719.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -714.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -722.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -716.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -712.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -709.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -710.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -708.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -708.00 mA, SOC: 71.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -707.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -701.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -687.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.94 V, Current: -694.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -690.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -681.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -680.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -675.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -680.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -679.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -677.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -673.00 mA, SOC: 70.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -671.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.95 V, Current: -671.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.95 V, Current: -664.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.95 V, Current: -668.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.95 V, Current: -663.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.95 V, Current: -672.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.95 V, Current: -660.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.95 V, Current: -664.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.81 V, Current: -1926.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.80 V, Current: -1925.00 mA, SOC: 69.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.79 V, Current: -1945.00 mA, SOC: 68.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.79 V, Current: -1950.00 mA, SOC: 68.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.78 V, Current: -1981.00 mA, SOC: 68.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.79 V, Current: -1978.00 mA, SOC: 68.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.78 V, Current: -1978.00 mA, SOC: 68.0 %, USB_Protocol: 114, USB_Current: 5700 mA
