1609459200s | Voltage: 3.65 V, Current: 574.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 496.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.64 V, Current: 499.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 597.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 551.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 523.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.69 V, Current: 688.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.69 V, Current: 640.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 768.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.71 V, Current: 724.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.71 V, Current: 541.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.71 V, Current: 654.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.67 V, Current: 475.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 610.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 671.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 620.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 599.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.65 V, Current: 562.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.64 V, Current: 548.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 637.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 612.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 604.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.67 V, Current: 621.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.70 V, Current: 607.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.68 V, Current: 634.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.68 V, Current: 600.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.69 V, Current: 641.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.70 V, Current: 577.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.67 V, Current: 681.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 602.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.67 V, Current: 648.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.71 V, Current: 622.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.72 V, Current: 685.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.71 V, Current: 573.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 674.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 591.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.73 V, Current: 676.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459328s | Voltage: 3.66 V, Current: 625.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.67 V, Current: 624.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.73 V, Current: 659.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 692.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.66 V, Current: 589.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.69 V, Current: 754.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.69 V, Current: 764.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.70 V, Current: 741.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.70 V, Current: 708.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 706.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459200s | Voltage: 3.74 V, Current: 636.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
