1609459456s | Voltage: 4.07 V, Current: -617.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -616.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -612.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -616.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -617.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -619.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -613.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -614.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -634.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.07 V, Current: -621.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.04 V, Current: -805.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.06 V, Current: -620.00 mA, SOC: 96.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 3.90 V, Current: -1840.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459456s | Voltage: 4.03 V, Current: -812.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 4.05 V, Current: -628.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 4.05 V, Current: -632.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 4.05 V, Current: -621.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 4.05 V, Current: -618.00 mA, SOC: 95.0 %, USB_Protocol: 114, USB_Current: 5700 mA
