1609459584s | Voltage: 3.44 V, Current: -1028.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.47 V, Current: -796.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1033.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1015.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1029.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.47 V, Current: -806.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1013.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1038.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1019.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.47 V, Current: -853.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -945.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459584s | Voltage: 3.45 V, Current: -1027.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.43 V, Current: -1037.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1023.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.47 V, Current: -914.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -914.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1033.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.46 V, Current: -802.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1022.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1035.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1017.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.47 V, Current: -820.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1019.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.47 V, Current: -800.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.42 V, Current: -1035.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1020.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.47 V, Current: -913.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -913.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.47 V, Current: -824.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1019.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1020.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.47 V, Current: -815.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1020.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.46 V, Current: -820.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1026.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.46 V, Current: -794.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.42 V, Current: -1037.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.44 V, Current: -1022.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.46 V, Current: -897.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.44 V, Current: -943.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1041.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1037.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1023.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.46 V, Current: -964.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -877.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1037.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1025.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1039.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1022.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.44 V, Current: -848.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1050.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1024.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1042.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1028.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1005.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1028.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.42 V, Current: -1043.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.46 V, Current: -807.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.45 V, Current: -822.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1028.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1051.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -1028.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.43 V, Current: -845.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.43 V, Current: -1053.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.43 V, Current: -1032.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.45 V, Current: -819.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1008.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1030.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.45 V, Current: -964.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -897.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1045.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1032.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.45 V, Current: -808.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1055.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1036.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1050.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1031.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.45 V, Current: -871.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -984.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1039.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.43 V, Current: -988.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -862.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1048.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1036.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.44 V, Current: -839.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1025.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.44 V, Current: -802.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1050.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.42 V, Current: -1032.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.44 V, Current: -887.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.42 V, Current: -977.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1051.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.43 V, Current: -832.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.42 V, Current: -1036.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.44 V, Current: -827.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1046.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.44 V, Current: -817.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1055.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1090.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.44 V, Current: -832.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1050.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.44 V, Current: -854.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1008.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1040.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.43 V, Current: -986.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -893.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1060.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1041.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.43 V, Current: -830.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1048.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.25 V, Current: -2336.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.24 V, Current: -2352.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.23 V, Current: -2407.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.23 V, Current: -2420.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.22 V, Current: -2427.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.22 V, Current: -2427.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.21 V, Current: -2431.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.21 V, Current: -2464.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.21 V, Current: -2451.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.20 V, Current: -2478.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.19 V, Current: -2427.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.20 V, Current: -2421.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.21 V, Current: -2426.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.20 V, Current: -2401.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.20 V, Current: -2295.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.21 V, Current: -2187.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.22 V, Current: -2095.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.20 V, Current: -2269.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.23 V, Current: -1935.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.27 V, Current: -2086.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.23 V, Current: -2072.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.20 V, Current: -2038.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.27 V, Current: -2007.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.33 V, Current: -1750.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.28 V, Current: -1862.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.24 V, Current: -1959.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.20 V, Current: -1613.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.38 V, Current: -964.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459200s | Voltage: 3.36 V, Current: -1160.00 mA, SOC: 0.0 %, USB_Protocol: 114, USB_Current: 5700 mA
