1609459584s | Voltage: 4.02 V, Current: 863.00 mA, SOC: 88.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.99 V, Current: 783.00 mA, SOC: 88.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.97 V, Current: 773.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.00 V, Current: 772.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.98 V, Current: 734.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.97 V, Current: 774.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.02 V, Current: 763.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.00 V, Current: 854.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.99 V, Current: 795.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.96 V, Current: 803.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.98 V, Current: 806.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.98 V, Current: 826.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.97 V, Current: 823.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.97 V, Current: 815.00 mA, SOC: 89.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.00 V, Current: 802.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.01 V, Current: 853.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.99 V, Current: 853.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.98 V, Current: 814.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.98 V, Current: 760.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.98 V, Current: 811.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 3.98 V, Current: 852.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459584s | Voltage: 4.02 V, Current: 863.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.99 V, Current: 811.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 814.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 796.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 764.00 mA, SOC: 90.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.97 V, Current: 782.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.01 V, Current: 833.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.01 V, Current: 752.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 801.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 828.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 795.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.97 V, Current: 790.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 842.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.02 V, Current: 790.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.03 V, Current: 837.00 mA, SOC: 91.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.03 V, Current: 798.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.03 V, Current: 900.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.97 V, Current: 840.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.03 V, Current: 831.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 835.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.02 V, Current: 837.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 837.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.02 V, Current: 800.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.99 V, Current: 882.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.98 V, Current: 794.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.03 V, Current: 794.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 4.03 V, Current: 848.00 mA, SOC: 92.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 809.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.00 V, Current: 817.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.98 V, Current: 788.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.02 V, Current: 801.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 842.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 869.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.02 V, Current: 896.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.01 V, Current: 842.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.98 V, Current: 881.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.99 V, Current: 843.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.02 V, Current: 833.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 872.00 mA, SOC: 93.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 840.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.99 V, Current: 791.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.99 V, Current: 843.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.00 V, Current: 886.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.01 V, Current: 828.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.98 V, Current: 793.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 857.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 854.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 847.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 882.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.00 V, Current: 871.00 mA, SOC: 94.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.02 V, Current: 827.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 4.03 V, Current: 855.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 860.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 876.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 916.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.02 V, Current: 864.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 828.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 883.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.99 V, Current: 905.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.04 V, Current: 851.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.98 V, Current: 863.00 mA, SOC: 95.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 890.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 979.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.00 V, Current: 849.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.01 V, Current: 843.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.99 V, Current: 855.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 824.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 885.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.99 V, Current: 798.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.01 V, Current: 806.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.01 V, Current: 837.00 mA, SOC: 96.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.02 V, Current: 813.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 916.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 867.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.03 V, Current: 867.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.02 V, Current: 805.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.00 V, Current: 862.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 4.01 V, Current: 809.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.03 V, Current: 842.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.03 V, Current: 842.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.03 V, Current: 840.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 917.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.04 V, Current: 877.00 mA, SOC: 97.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.01 V, Current: 881.00 mA, SOC: 98.0 %, USB_Protocol: 136, USB_Current: 2000 mA
