1609459712s | Voltage: 3.48 V, Current: -1425.00 mA, SOC: 39.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.51 V, Current: -1648.00 mA, SOC: 39.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.53 V, Current: -1592.00 mA, SOC: 39.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.46 V, Current: -1415.00 mA, SOC: 39.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.46 V, Current: -1587.00 mA, SOC: 39.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.52 V, Current: -1584.00 mA, SOC: 39.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.45 V, Current: -1584.00 mA, SOC: 38.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.51 V, Current: -1576.00 mA, SOC: 38.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.41 V, Current: -1655.00 mA, SOC: 38.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.50 V, Current: -1507.00 mA, SOC: 38.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.51 V, Current: -1617.00 mA, SOC: 38.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459712s | Voltage: 3.40 V, Current: -1589.00 mA, SOC: 37.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.51 V, Current: -1567.00 mA, SOC: 37.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.51 V, Current: -1592.00 mA, SOC: 37.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.50 V, Current: -1588.00 mA, SOC: 37.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.51 V, Current: -1685.00 mA, SOC: 37.0 %, USB_Protocol: 114, USB_Current: 5700 mA
